Hexa44 Power Supply (Chip 1): Agilent Technologies,E3648A,0,1.7-5.0-1.0
    Limits: Voltage=1.2200, Current=0.6000
Hexa48 Power Supply (Chip 4): Agilent Technologies,E3642A,0,1.6-5.0-1.0
    Limits: Voltage=1.2400, Current=0.6000
2023-08-05 10:07:39.241339 Hexa48 Chip 4 Power: On, Voltage=1.23635, Current=0.26301, Power=0.32517
2023-08-05 10:07:42.170283 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26038, Power=0.31798
2023-08-05 10:07:42.170283 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26300, Power=0.32521
2023-08-05 10:07:45.065479 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26037, Power=0.31797
2023-08-05 10:07:45.065479 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26301, Power=0.32521
2023-08-05 10:07:47.957940 Hexa44 Chip 1 Power: On, Voltage=1.22126, Current=0.26040, Power=0.31801
2023-08-05 10:07:47.957940 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26304, Power=0.32523
2023-08-05 10:07:50.852767 Hexa44 Chip 1 Power: On, Voltage=1.22126, Current=0.26040, Power=0.31801
2023-08-05 10:07:50.852767 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26304, Power=0.32522
2023-08-05 10:07:53.751207 Hexa44 Chip 1 Power: On, Voltage=1.22129, Current=0.26041, Power=0.31804
2023-08-05 10:07:53.751207 Hexa48 Chip 4 Power: On, Voltage=1.23635, Current=0.26300, Power=0.32516
2023-08-05 10:07:56.659883 Hexa44 Chip 1 Power: On, Voltage=1.22129, Current=0.26034, Power=0.31795
2023-08-05 10:07:56.659883 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26300, Power=0.32520
2023-08-05 10:07:59.614770 Hexa44 Chip 1 Power: On, Voltage=1.22134, Current=0.26036, Power=0.31799
2023-08-05 10:07:59.614770 Hexa48 Chip 4 Power: On, Voltage=1.23659, Current=0.26304, Power=0.32527
2023-08-05 10:08:02.512801 Hexa44 Chip 1 Power: On, Voltage=1.22126, Current=0.26035, Power=0.31796
2023-08-05 10:08:02.512801 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26301, Power=0.32522
2023-08-05 10:08:05.408083 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26038, Power=0.31796
2023-08-05 10:08:05.408083 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26304, Power=0.32522
2023-08-05 10:08:08.302710 Hexa44 Chip 1 Power: On, Voltage=1.22136, Current=0.26036, Power=0.31800
